Dosya_Adi,Duygu
G03_D01_C_10_Sad_C4.wav,Sad
G03_D04_M_23_Furious_C3.wav,Angry
G03_D03_M_50_Neutral_C1.wav,Neutral
G03_D06_C_11_Furious_C3.wav,Angry
G03_D05_F_22_Sad_C4.wav,Sad
G03_D02_F_45_Sad_C4.wav,Sad
G03_D03_M_50_Furious_C3.wav,Angry
G03_D02_F_45_Happy_C2.wav,Happy
G03_D04_M_23_Happy_C2.wav,Happy
G03_D05_F_22_Neutral_C1.wav,Neutral
G03_D06_C_11_Happy_C2.wav,Happy
G03_D05_F_22_Furious_C3.wav,Angry
G03_D03_M_50_Happy_C2.wav,Happy
G03_D01_C_10_Shocked_C5.wav,Surprised
G03_D06_C_11_Shocked_C5.wav,Surprised
G03_D02_F_45_Furious_C3.wav,Angry
G03_D01_C_10_Happy_C2.wav,Happy
G04_D02_M_21_Happy_C2.wav,Happy
G04_D02_M_21_Neutral_C1.wav,Neutral
G04_D01_M_20_Furious_C3.wav,Angry
G04_D02_M_21_Furious_C3.wav,Angry
G04_D01_M_20_Neutral_C1.wav,Neutral
G04_D06_C_13_Neutral_C1.wav,Neutral
G04_D05_C_12_Furious_C3.wav,Angry
G04_D01_M_20_Happy_C2.wav,Happy
G04_D04_K_21_Neutral_C1.wav,Neutral
G04_D06_C_13_Furious_C3.wav,Angry
G04_D05_C_12_Neutral_C1.wav,Neutral
G04_D04_K_21_Furious_C3.wav,Angry
G04_D03_F_21_Furious_C3.wav,Angry
G04_D06_C_13_Happy_C2.wav,Happy
G04_D03_F_21_Happy_C2.wav,Happy
G04_D03_F_21_Sad_C4.wav,Sad
G04_D05_C_12_Happy_C2.wav,Happy
G04_D04_K_21_Shocked_C5.wav,Surprised
G13_D02_E_42_Mutlu_C2.wav,Happy
G13_D01_C_10_Mutlu_C2.wav,Happy
G13_D05_K_48_Ofkeli_C3.wav,Angry
G13_D04_K_45_Notr_C1.wav,Neutral
G13_D06_E_47_Saskin_C5.wav,Surprised
G13_D02_E_42_Notr_C1.wav,Neutral
G13_D06_E_47_Notr_C1.wav,Neutral
G13_D03_C_11_Mutlu_C2.wav,Happy
G13_D04_K_45_Uzgun_C4.wav,Sad
G13_D01_C_10_Ofkeli_C3.wav,Angry
G13_D04_K_45_Ofkeli_C3.wav,Angry
G13_D01_C_10_Notr_C1.wav,Neutral
G13_D03_C_11_Ofkeli_C3.wav,Angry
G13_D02_E_42_Ofkeli_C3.wav,Angry
G13_D03_C_11_Notr_C1.wav,Neutral
G13_D05_K_48_Notr_C1.wav,Neutral
G13_D06_E_47_Ofkeli_C3.wav,Angry
G13_D05_K_48_Saskin_C5.wav,Surprised
G14_D03_K_46_Notr_C1.wav,Neutral
G14_D04_E_58_Notr_C1.wav,Neutral
G14_D06_C_6_Mutlu_C2.wav,Happy
G14_D03_K_46_Uzgun_C4.wav,Sad
G14_D02_E_45_Notr_C1.wav,Neutral
G14_D05_K_25_Ofkeli_C3.wav,Angry
G14_D01_C_10_Saskin_C5.wav,Surprised
G14_D02_E_45_Saskin_C5.wav,Surprised
G14_D04_E_58_Saskin_C5.wav,Surprised
G14_D06_C_6_Uzgun_C4.wav,Sad
G14_D05_K_25_Uzgun_C4.wav,Sad
G14_D04_E_58_Uzgun_C4.wav,Sad
G14_D01_C_10_Ofkeli_C3.wav,Angry
G14_D01_C_10_Mutlu_C2.wav,Happy
G14_D03_K_46_Saskin_C5.wav,Surprised
G14_D06_C_6_Ofkeli_C3.wav,Angry
G14_D05_K_25_Notr_C1.wav,Neutral
G14_D02_E_45_Mutlu_C2.wav,Happy
G17_D04_E_23_UZGUN_C4_.wav,Sad
G17_D05_E_22_Uzgun_C4_.wav,Sad
G17_D05_E_22_MUTLU_C2_.wav,Happy
G17_D06_C_8_MUTLU_C2_.wav,Happy
G17_D06_C_8_Notr_C1_.wav,Neutral
G17_D01_K_24_Mutlu_C2_.wav,Happy
G17_D02_K_33_Uzgun_C4_.wav,Sad
G17_D02_K_33_Notr_C1_.wav,Neutral
G17_D05_E_22_Notr_C1_.wav,Neutral
G17_D04_E_23_S╠ğAS╠ğIRMA_C5_.wav,Surprised
G17_D04_E_23_OFKELI╠ç_C3_.wav,Angry
G17_D03_C_4_Sask─▒n_C5_.wav,Surprised
G17_D03_C_4_Uzgun_C4_.wav,Sad
G17_D03_C_4_Mutlu_C2_.wav,Happy
G17_D06_C_8_OFKELI╠ç_C3_.wav,Angry
G17_D02_K_33_S╠ğas╠ğk─▒n_C5_.wav,Surprised
G17_D01_K_24_Ofkeli_C3_.wav,Angry
G17_D01_K_24_Notr_C1_.wav,Neutral
G09_D04_K_25_Ofkeli_C3.wav,Angry
G09_D05_C_15_Notr_C1.wav,Neutral
G09_D01_E_19_Notr_C1.wav,Neutral
G09_D06_C_12_Notr_C1.wav,Neutral
G09_D03_K_50_Notr_C1.wav,Neutral
G09_D03_K_50_Uzgun_C4.wav,Sad
G09_D06_C_12_Ofkeli_C3.wav,Angry
G09_D05_C_15_Ofkeli_C3.wav,Angry
G09_D01_E_19_Mutlu_C2.wav,Happy
G09_D04_K_25_Notr_C1.wav,Neutral
G09_D03_K_50_Saskin_C5.wav,Surprised
G09_D05_C_15_Mutlu_C2.wav,Happy
G09_D01_E_19_Ofkeli_C3.wav,Angry
G09_D04_K_25_Saskin_C5.wav,Surprised
G09_D06_C_12_Mutlu_C2.wav,Happy
G09_D02_E_19_Mutlu_C2.wav,Happy
G09_D02_E_19_Notr_C1.wav,Neutral
G09_D02_E_19_Ofkeli_C3.wav,Angry
G10_D02_M_25_neutral_C1.wav,Neutral
G10_D01_C_11_happy_C2.wav,Happy
G10_D03_M_23_neutral_C1.wav,Neutral
G10_D04_F_17_sad_C4.wav,Sad
G10_D05_C_11_happy_C2.wav,Happy
G10_D04_F_17_neutral_C1.wav,Neutral
G10_D06_F_30_happy_C2.wav,Happy
G10_D01_C_11_furious_C3.wav,Angry
G10_D05_C_11_sad_C4.wav,Sad
G10_D05_C_11_neutral_C1.wav,Neutral
G10_D04_F_17_furious_C3.wav,Angry
G10_D06_F_30_neutral_C1.wav,Neutral
G10_D03_M_23_shocked_C5.wav,Surprised
G10_D06_F_30_furious_C3.wav,Angry
G10_D02_M_25_shocked_C5.wav,Surprised
G10_D02_M_25_sad_C4.wav,Sad
G10_D03_M_23_happy_C2.wav,Happy
G10_D01_C_11_sad_C4.wav,Sad
G07_D01_K_22_S╠ğas╠ğk─▒n_C5.wav,Surprised
G07_D04_K_42_Notr_C1.wav,Neutral
G07_D02_E_22_S╠ğas╠ğk─▒n_C5.wav,Surprised
G07_D05_C_11_Mutlu_C2.wav,Happy
G07_D02_E_22_No╠êtr_C1.wav,Neutral
G07_D03_C_14_Saskin_C5.wav,Surprised
G07_D01_K_22_O╠êfkeli_C3.wav,Angry
G07_D04_K_42_Ofkeli_C3.wav,Angry
G07_D04_K_42_Mutlu_C2.wav,Happy
G07_D06_C_20_Notr_C1.wav,Neutral
G07_D05_C_11_Uzgun_C4.wav,Sad
G07_D03_C_14_Mutlu_C2.wav,Happy
G07_D01_K_22_No╠êtr_C1.wav,Neutral
G07_D06_E_20_Saskin_C5.wav,Surprised
G07_D05_C_11_Notr_C1.wav,Neutral
G07_D06_C_20_Ofkeli_C3.wav,Angry
G07_D02_E_22_Mutlu_C2.wav,Happy
G07_D03_C_14_Uzgun_C4.wav,Sad
G19_D03_F_21_Neutral_C1.wav,Neutral
G19_D01_M_20_Sad_C4.wav,Sad
G19_D05_C_08_Sad_C4.wav,Sad
G19_D06_C_10_Shocked_C5.wav,Surprised
G19_D04_F_18_Shocked_C5.wav,Surprised
G19_D03_F_21_Furious_C3.wav,Angry
G19_D02_M_29_Sad_C4.wav,Sad
G19_D05_C_08_Shocked_C5.wav,Surprised
G19_D06_C_10_Furious_C3.wav,Angry
G19_D04_F_18_Furious_C3.wav,Angry
G19_D02_M_29_Furious_C3.wav,Angry
G19_D01_M_20_Neutral_C1.wav,Neutral
G19_D02_M_29_Neutral_C1.wav,Neutral
G19_D03_F_21_Shocked_C5.wav,Surprised
G19_D01_M_20_Furious_C3.wav,Angry
G19_D04_F_18_Happy_C2.wav,Happy
G19_D05_C_08_Happy_C2.wav,Happy
G19_D06_C_10_Happy_C2.wav,Happy
G01_D04_C_10_Uzgun_C4.wav,Sad
G01_D02_K_58_Notr_C1.wav,Neutral
G01_D01_E_21_Notr_C1 (1).wav,Neutral
G01_D05_E_20_Ofkeli_C3.wav,Angry
G01_D04_C_10_Ofkeli_C3.wav,Angry
G01_D06_K_19_Notr_C1.wav,Neutral
G01_D01_E_21_Ofkeli_C3.wav,Angry
G01_D02_K_58_Ofkeli_C3.wav,Angry
G01_D06_K_19_Ofkeli_C3.wav,Angry
G01_D03_C_7_Saskin_C5.wav,Surprised
G01_D03_C_7_Notr_C1.wav,Neutral
G01_D05_E_20_Notr_C1.wav,Neutral
G1_D05_E_20_Saskin_C5.wav,Surprised
G01_D01_E_21_Saskin_C5.wav,Surprised
G01_D02_K_58_Saskin_C5.wav,Surprised
G01_D06_K_19_Mutlu_C2.wav,Happy
G01_D03_C_7_Mutlu_C2.wav,Happy
G01_D04_C_10_Notr_C1.wav,Neutral
G06_D06_E_20_Ofkeli_C3.wav,Angry
G06_D04_E_22_Mutlu_C2.wav,Happy
G06_D06_E_20_Notr_C1.wav,Neutral
G06_D04_E_22_Ofkeli_C3.wav,Angry
G06_D03_K_25_Mutlu_C2.wav,Happy
G06_D05_C_10_Notr_C1.wav,Neutral
G06_D02_E_21_Ofkeli_C3.wav,Angry
G06_D04_E_22_Notr_C1.wav,Neutral
G06_D01_E_21_Notr_C1.wav,Neutral
G06_D03_K_25_Notr_C1.wav,Neutral
G06_D03K_25_Ofkeli_C3.wav,Angry
G06_D02_E_21_Notr_C1.wav,Neutral
G06_D02_E_21_Mutlu_C2.wav,Happy
G06_D01_E_21_Saskin_C5.wav,Surprised
G06_D05_C_10_Uzgun_C4.wav,Sad
G06_D06_E_20_Uzgun_C4.wav,Sad
G06_D05_C_10_Ofkeli_C3.wav,Angry
G06_D01_E_21_Mutlu_C2.wav,Happy
G11_D04_F_24_Neutral_C1.wav,Neutral
G11_D04_F_24_Furious_C3.wav,Angry
G11_D03_M_21_Sad_C4.wav,Sad
G11_D06_M_22_Shocked_C5.wav,Surprised
G11_D05_F_20_Happy_C2.wav,Happy
G11_D01_C_11_Shocked_C5.wav,Surprised
G11_D03_M_21_Shocked_C5.wav,Surprised
G11_D05_F_20_Sad_C4.wav,Sad
G11_D05_F_20_Furious_C3.wav,Angry
G11_D06_M_22_Neutral_C1.wav,Neutral
G11_D06_M_22_Furious_C3.wav,Angry
G11_D04_F_24_Happy_C2.wav,Happy
G11_D03_M_21_Furious_C3.wav,Angry
G11_D02_C_16_Furious_C3.wav,Angry
G11_D01_C_11_Furious_C3.wav,Angry
G11_D02_C_16_Neutral_C1.wav,Neutral
G11_D02_C_16_Happy_C2.wav,Happy
G11_D01_C_11_Neutral_C1.wav,Neutral
G16_D02_F_21_Neutral_C1.wav,Neutral
G16_D05_M_17_Furious_C3.wav,Angry
G16_D02_F_21_Furious_C3.wav,Angry
G16_D06_C_09_Happy_C2.wav,Happy
G16_D03_F_19_Happy_C2.wav,Happy
G16_D01_C_07_Shocked_C5.wav,Surprised
G16_D04_M_46_Shocked_C5.wav,Surprised
G16_D03_F_19_Furious_C3.wav,Angry
G16_D03_F_19_Neutral_C1.wav,Neutral
G16_D05_M_17_Shocked_C5.wav,Surprised
G16_D02_F_21_Shocked_C5.wav,Surprised
G16_D01_C_07_Happy_C2.wav,Happy
G16_D04_M_46_Neutral_C1.wav,Neutral
G16_D06_C_09_Furious_C3.wav,Angry
G16_D04_M_46_Furious_C3.wav,Angry
G16_D01_C_07_Neutral_C1.wav,Neutral
G16_D05_M_17_Sad_C4.wav,Sad
G16_D06_C_09_Neutral_C1.wav,Neutral
G08_D04_C_15_Mutlu_C2.wav,Happy
G08_D03_K_19_Ofkeli_C3.wav,Angry
G08_D04_C_15_Notr_C1.wav,Neutral
G08_D01_K_20_Saskin_C5.wav,Surprised
G08_D05_E_21_Notr_C1.wav,Neutral
G08_D06_C_7_Mutlu_C2.wav,Happy
G08_D04_C_15_Uzgun_C4.wav,Sad
G08_D02_E_20_Notr_C1.wav,Neutral
G08_D02_E_20_Ofkeli_C3.wav,Angry
G08_D01_K_20_Notr_C1.wav,Neutral
G08_D03_K_19_Saskin_C5.wav,Surprised
G08_D03_K_19_Notr_C1.wav,Neutral
G08_D06_C_7_Notr_C1.wav,Neutral
G08_D01_K_20_Mutlu_C2.wav,Happy
G08_D06_C_7_Saskin_C5.wav,Surprised
G08_D05_E_21_Uzgun_C4.wav,Sad
G08_D05_E_21_Ofkeli_C3.wav,Angry
G08_D02_E_20_Mutlu_C2.wav,Happy
G11_D01_K_48_Saskin_C5.wav,Surprised
G11_D03_E_20_Saskin_C5.wav,Surprised
G11_D01_K_48_Uzgun_C4.wav,Sad
G11_D05_C_10_Mutlu_C2.wav,Happy
G11_D03_E_20_Notr_C1.wav,Neutral
G11_D04_E_52_Notr_C1.wav,Neutral
G11_D06_C_15_Saskin_C5.wav,Surprised
G11_D02_K_22_Saskin_C5.wav,Surprised
G11_D05_C_10_Ofkeli_C3.wav,Angry
G11_D02_K_22_Mutlu_C2.wav,Happy
G11_D06_C_15_Ofkeli_C3.wav,Angry
G11_D04_E_52_Ofkeli_C3.wav,Angry
G11_D05_C_10_Saskin_C5.wav,Surprised
G11_D04_E_52_Uzgun_C4.wav,Sad
G11_D06_C_15_Uzgun_C4.wav,Sad
G11_D01_K_48_Ofkeli_C3.wav,Angry
G11_D03_E_20_Ofkeli_C3.wav,Angry
G11_D02_K_22_Notr_C1.wav,Neutral
G08_D01_C_7_Happy_C2.wav,Happy
G08_D06_M_49_Furious_C3.wav,Angry
G08_D04_M_22_Furious_C3.wav,Angry
G08_D03_F_20_Shocked_C5.wav,Surprised
G08_D05_F_52_Happy_C2.wav,Happy
G08_D02_C_6_Sad_C4.wav,Sad
G08_D06_M_49_Shocked_C5.wav,Surprised
G08_D04_M_22_Shocked_C5.wav,Surprised
G08_D06_M_49_Sad_C4.wav,Sad
G08_D05_F_52_Furious_C3.wav,Angry
G08_D03_F_20_Happy_C2.wav,Happy
G08_D02_C_6_Furious_C3.wav,Angry
G08_D01_C_7_Furious_C3.wav,Angry
G08_D05_F_52_Sad_C4.wav,Sad
G08_D04_M_22_Sad_C4.wav,Sad
G08_D03_F_20_Neutral_C1.wav,Neutral
G08_D01_C_7_Neutral_C1.wav,Neutral
G08_D02_C_6_Happy_C2.wav,Happy
G16_D05_C_11_U╠êzgu╠ên_C4.wav,Sad
G16_D05_C_11_O╠êfkeli_C3.wav,Angry
G16_D02_E_20_Ofkeli_C3.wav,Angry
G16_D04_C_09_S╠ğas╠ğk─▒n_C5.wav,Surprised
G16_D01_K_21_Saskin_C5.wav,Surprised
G16_D04_C_09_O╠êfkeli_C3.wav,Angry
G16_D06_K_24_Mutlu_C2.wav,Happy
G16_D06_K_24_No╠êtr_C1.wav,Neutral
G16_D03_E_42_U╠êzgu╠ên_C4.wav,Sad
G16_D03_E_42_O╠êfkeli_C3.wav,Angry
G16_D03_E_42_No╠êtr_C1.wav,Neutral
G16_D02_E_20_Notr_C1.wav,Neutral
G16_D04_C_09_Mutlu_C2.wav,Happy
G16_D01_K_21_Ofkeli_C3.wav,Angry
G16_D06_K_24_Ofkeli_C3.wav,Angry
G16_D01_K_21_Mutlu_C2.wav,Happy
G16_D02_E_20_Mutlu_C2.wav,Happy
G16_D05_C_11_Mutlu_C2.wav,Happy
G01_D08_C_14_Surprised_C5.wav,Surprised
G01_D06_F_29_Angry_C3.wav,Angry
G01_D05_F_20_Sad_C4.wav,Sad
G01_D01_C_11_Angry_C3.wav,Angry
G01_D02_M_18_Neutral_C1.wav,Neutral
G01_D06_F_29_Sad_C4.wav,Sad
G01_D05_F_20_Happy_C2.wav,Happy
G01_D07_F_25_Neutral_C1.wav,Neutral
G01_D02_M_18_Happy_C2.wav,Happy
G01_D03_F_23_Angry_C3.wav,Angry
G01_D04_M_20_Angry_C3.wav,Angry
G01_D04_M_20_Neutral_C1.wav,Neutral
G01_D01_C_11_Neutral_C1.wav,Neutral
G01_D08_C_14_Neutral_C1.wav,Neutral
G01_D01_C_11_Sad_C4.wav,Sad
G01_D06_F_29_Happy_C2.wav,Happy
G01_D07_F_25_Surprised_C5.wav,Surprised
G01_D07_F_25_Sad_C4.wav,Sad
G01_D08_C_14_Happy_C2.wav,Happy
G01_D01_C_11_Surprised_C5.wav,Surprised
G01_D04_M_20_Sad_C4.wav,Sad
G01_D02_M_18_Sad_C4.wav,Sad
G18_D04_K_44_Ofkeli_C3.wav,Angry
G18_D02_E_53_Ofkeli_C3.wav,Angry
G18_D05_E_18_Ofkeli_C3.wav,Angry
G18_D01_C_11_Mutlu.wav,Happy
G18_D06_C_7_Ofkeli_C3.wav,Angry
G18_D05_E_18_Notr_C1.wav,Neutral
G18_D02_E_53_Mutlu_C2.wav,Happy
G18_D05_E_18_Saskin_C5.wav,Surprised
G18_D06_C_7_Notr_C1.wav,Neutral
G18_D04_K_44_Mutlu_C2.wav,Happy
G18_D02_E_53_Notr_C1.wav,Neutral
G18_D01_C_Notr_11_C1.wav,Neutral
G18_D03_K_17_Notr_C1.wav,Neutral
G18_D03_K_17_Ofkeli_C3.wav,Angry
G18_D06_C_7_Mutlu_C2.wav,Happy
G18_D04_K_44_Notr_C1.wav,Neutral
G18_D01_C_11_Ofkeli_C3_.wav,Angry
G18_D03_K_17_Mutlu_C2.wav,Happy
G06_D06_C_08_Shocked_C5.wav,Surprised
G06_D04_M_48_Shocked_C5.wav,Surprised
G06_D01_F_20_Neutral_C1.wav,Neutral
G06_D03_M_20_Shocked_C5.wav,Surprised
G06_D05_C_10_Shocked_C5.wav,Surprised
G06_D01_F_20_Furious_C3.wav,Angry
G06_D02_F_19_Shocked_C5.wav,Surprised
G06_D06_C_08_Furious_C3.wav,Angry
G06_D04_M_48_Neutral_C1.wav,Neutral
G06_D06_C_08_Neutral_C1.wav,Neutral
G06_D04_M_48_Furious_C3.wav,Angry
G06_D02_F_19_Neutral_C1.wav,Neutral
G06_D03_M_20_Furious_C3.wav,Angry
G06_D01_F_20_Shocked_C3.wav,Angry
G06_D05_C_10_Neutral_C1.wav,Neutral
G06_D02_F_19_Furious_C3.wav,Angry
G06_D03_M_20_Neutral_C1.wav,Neutral
G06_D05_C_10_Furious_C3.wav,Angry
G19_D01_C_08_Notr_C1.wav,Neutral
G19_D03_E_21_Mutlu_C2.wav,Happy
G19_D06_E_46_Ofkeli_C3.wav,Angry
G19_D01_C_08_No_Mutlu_C2.wav,Happy
G19_D04_K_19_No_Mutlu_C2.wav,Happy
G19_D05_K_87_Mutlu_C2.wav,Happy
G19_D02_C_09_Notr_C1.wav,Neutral
G19_D03_E_21_Uzgun_C4.wav,Sad
G19_D01_C_08_No_Ofkeli_C3.wav,Angry
G19_D04_K_19_No_Ofkeli_C3.wav,Angry
G19_D03_E_21_Saskin_C5.wav,Surprised
G19_D06_E_46_Saskin_C5.wav,Surprised
G19_D02_C_09_Ofkeli_C3.wav,Angry
G19_D02_C_09_Saskin_C5 (1).wav,Surprised
G19_D04_K_19_Notr_C1.wav,Neutral
G19_D05_K_87_Ofkeli_C3.wav,Angry
G19_D05_K_87_Notr_C1.wav,Neutral
G07_D06_C_15_Happy_C2.wav,Happy
G07_D05_C_15_Neutral_C1.wav,Neutral
G07_D01_M_22_Furious_C3.wav,Angry
G07_D05_ C_15_Sad_C4.wav,Sad
G07_D06_C_15_Neutral_C1.wav,Neutral
G07_D01_M_22_Happy_C2.wav,Happy
G07_D01_M_22_Neutral_C1.wav,Neutral
G07_D06_C_15_Furious_C3.wav,Angry
G07_D03_F_35_Happy_C2.wav,Happy
G07_D04_F_20_Happy_C2.wav,Happy
G07_D05_C_15_Happy_C2.wav,Happy
G07_D02_M_50_Neutral_C1.wav,Neutral
G07_D02_M_50_Sad_C4.wav,Sad
G07_D03_F_40_Furious_C3.wav,Angry
G07_D02_M_50_Happy_C2.wav,Happy
G07_D03_F_40_Neutral_C1.wav,Neutral
G07_D04_F_20_Neutral_C1.wav,Neutral
G07_D04_F_20_Furious_C3.wav,Angry
G21_D06_E_20_Mutlu_C2.wav,Happy
G21_D01_C_11_Mutlu_C2.wav,Happy
G21_D02_K_21_Notr_C1.wav,Neutral
G21_D03_E_50_Mutlu_C2.wav,Happy
G21_D01_C_11_Notr_C1.wav,Neutral
G21_D05_K_21_Sask─▒n_C5.wav,Surprised
G21_D01_C_11_Ofkeli_C3.wav,Angry
G21_D05_K_21_Uzgun_C4.wav,Sad
G21_D02_K_21_Mutlu_C2.wav,Happy
G21_D05_K_21_Ofkeli_C3.wav,Angry
G21_D03_E_50_Ofkeli_C3.wav,Angry
G21_D04_C_13_Uzgun_C4.wav,Sad
G21_D06_E_20_Sask─▒n_C5.wav,Surprised
G21_D04_C_13_Ofkeli_C3.wav,Angry
G21_D06_E_20_Ofkeli_C3.wav,Angry
G21_D04_C_13_Mutlu_C2.wav,Happy
G21_D03_E_50_Notr_C1.wav,Neutral
G21_D02_K_21_Ofkeli_C3.wav,Angry
G09_D03_E_21_Furious_C4.wav,Sad
G09_D04_E_42_Furious_C3.wav,Angry
G09_D03_E_21_Neutral_C1.wav,Neutral
G09_D04_E_42_Sad_C2.wav,Happy
G09_D01_K_22_Happy_C2.wav,Happy
G09_D06_C_12_Sad_C4.wav,Sad
G09_D06_C_12_Shocked_C5..wav,Surprised
G09_D05_C_11_Shocked_C5.wav,Surprised
G09_D05_C_11_Sad_C4.wav,Sad
G09_D02_K_21_Furious_C3.wav,Angry
G09_D02_K_21_Happy_C2.wav,Happy
G09_D06_C_12_Furious_C3.wav,Angry
G09_D04_E_42_Shocked_C5.wav,Surprised
G09_D02_K_21_Neutral_C1.wav,Neutral
G09_D01_K_22_Sad_C4.wav,Sad
G09_D05_C_11_Furious_C3.wav,Angry
G09_D01_K_22_Furious_C3.wav,Angry
G09_D03_E_21_Happy_C2.wav,Happy
G17_D02_K_20_Mutlu_C2.wav,Happy
G17_D02_K_20_Ofkeli_C3.wav,Angry
G17_D03_C_09_Uzgun_C4.wav,Sad
G17_D05_K_66_Ofkeli_C3.wav,Angry
G17_D03_C_09_Ofkeli_C3.wav,Angry
G17_D05_K_66_Uzgun_C4.wav,Sad
G17_D04_C_08_Mutlu_C3.wav,Angry
G17_D04_C_08_Notr_C3.wav,Angry
G17_D01_E_21_Mutlu_C2.wav,Happy
G17_D04_C_08_Ofkeli_C3.wav,Angry
G17_D03_C_09_Mutlu_C2.wav,Happy
G17_D05_K_66_Mutlu_C2.wav,Happy
G17_D01_E_21_Saskin_C5.wav,Surprised
G17_D01_E_21_Notr_C1.wav,Neutral
G17_D06_E_68_Notr_C1.wav,Neutral
G17_D06_E_68_Uzgun_C4.wav,Sad
G17_D02_K_20_Notr_C1.wav,Neutral
G17_D06_E_68_Mutlu_C2.wav,Happy
G10_D04_E_24_Ofkeli_C3.wav,Angry
G10_D01_C_7_Ofkeli_C3.wav,Angry
G10_D04_E_24_Mutlu_C2.wav,Happy
G10_D02_C_16_Ofkeli_C3.wav,Angry
G10_D05_K_26_Ofkeli_C3.wav,Angry
G10_D03_E_23_Notr_C1.wav,Neutral
G10_D03_E_23_Mutlu_C2.wav,Happy
G10_D04_E_24_Notr_C1.wav,Neutral
G10_D02_C_16_Saskin_C5.wav,Surprised
G10_D06_K_27_Ofkeli_C3.wav,Angry
G10_D01_C_7_Mutlu_C2.wav,Happy
G10_D03_E_23_Ofkeli_C3.wav,Angry
G10_D06_K_27_Notr_C1.wav,Neutral
G10_D02_C_16_Mutlu_C2.wav,Happy
G10_D05_K_26_Notr_C1.wav,Neutral
G10_D06_K_27_Mutlu_C2.wav,Happy
G10_D01_C_7_Notr_C1.wav,Neutral
G10_D05_K_26_Uzgun_C4.wav,Sad
